,Date,PnL,LongsP,ShortsP,LongH,ShortH,LongD,ShortD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV,Sim
0,2016-07-15,0.0,302803313.172795,-302797627.1683992,4955621269.226053,-4938500714.180613,0.0,0.0,544971428.5617343,-550544086.4583932,-6250000.0,6250000.0,11802764.043761063,-11845031.162137533,1
1,2016-07-18,1720843.873879274,305015537.1199766,-301133925.9814784,5019390525.326643,-5030638444.909161,336005391.1742293,-309791997.8064951,565216218.8876101,-573822269.4223497,-6487967.235007171,6500150.597989896,11193488.844229592,-11275835.558418963,1
2,2016-07-19,185528.4084111239,294310651.23278624,-289364013.89752233,4976734235.184132,-4993948585.4592495,346001053.3453587,-340914120.4411132,569660667.9720372,-577501274.7991233,-6492658.864719654,6536397.209856382,10899077.219461195,-10991455.55994405,1
3,2016-07-20,3991099.190270885,320248264.244876,-308063928.8081682,5214085439.541382,-5233264762.46825,432672649.3222433,-433954275.5816649,573097601.9902341,-591192533.8242106,-6481782.315694818,6560556.660121104,10547972.952484656,-10743240.453635568,1
4,2016-07-21,1593596.328069541,302266311.9777468,-283472130.2037796,4986762186.995282,-5012218390.662673,467959958.1483261,-466699327.4169939,579768860.6909759,-600119371.159512,-6422997.600155061,6523116.511775343,10164710.05516814,-10398476.96264712,1
5,2016-07-22,-2222217.5238323845,343786291.88714206,-314423692.82112825,5416881912.783995,-5529898273.946878,573445237.4040358,-498675714.7244215,581564848.0229709,-601320435.1972162,-6413286.10968891,6541036.003302365,9825718.64283272,-10055154.238762213,1
6,2016-07-25,1455451.74150222,328797726.1541462,-288039248.6467146,5251085515.552374,-5445330653.598997,433347276.414598,-362058926.2307748,600951359.6539254,-629878976.6437461,-6608993.20862503,6832547.335787179,9059919.527240068,-9395447.39592496,1
7,2016-07-26,3896168.320711804,338011691.5750177,-302775304.19394207,5385428435.426868,-5473424122.225902,548645883.360781,-645477076.1613026,599743818.1619402,-635457316.7233837,-6648431.254527101,6879962.644324665,8724653.01597672,-9101254.337868309,1
8,2016-07-27,-1971373.2948990336,314782626.8830967,-297779945.9554434,5143348202.054739,-5161887858.897358,578223005.6548123,-631416702.4527043,597714304.6321645,-608808673.1565199,-6635503.610768739,6737043.42024928,8337408.982232138,-8470381.283770062,1
9,2016-07-28,-1185557.5686840452,336562794.93607306,-309755737.989911,5335411000.429155,-5403396984.128081,619777041.3457265,-581320648.0766106,594171737.3236176,-605581881.6578869,-6526554.88192002,6624228.0460501015,7887661.476621494,-8006268.71080789,1
10,2016-07-29,-424964.2852852405,350299289.7146658,-325032336.96106184,5504962473.959061,-5559403940.668816,559602935.2005985,-572032312.2824979,584629688.4738743,-596212442.061332,-6410555.182962613,6501642.505256298,7408056.80119058,-7511082.744820561,1
11,2016-08-01,3543602.175327574,331554417.3443335,-311265362.55614185,5488060735.23371,-5476494289.412633,447027712.7186667,-504514125.1087588,592127156.5902238,-614908177.4052644,-6538627.161582116,6651618.182785768,6451102.760193692,-6591239.951323928,1
12,2016-08-02,2967544.459796883,261910109.40075853,-262780525.71848607,4893143025.827085,-4677468917.212038,742421691.4542184,-922402338.6824718,603771765.5612674,-620729718.2696843,-6683531.224580638,6630977.702872677,6213375.201756865,-6253299.787898751,1
13,2016-08-03,-2829462.9880652274,288263017.0506076,-283057368.70753616,4979419175.604625,-4861711861.64348,637061817.1098944,-548000550.1048565,600924076.7420847,-620917472.9204385,-6616330.926254462,6657234.792386231,5813917.762512069,-5903356.235449946,1
14,2016-08-04,1789736.8764383518,303957700.3917185,-282730564.93507147,4961472513.487442,-4910330697.156622,541646653.8183315,-489312906.42514366,591011625.0717175,-616212020.1533483,-6438302.178920669,6532658.612405447,5326272.401443889,-5450284.691568218,1
15,2016-08-05,3656553.899451766,361938698.152913,-327142738.77050424,5375583527.595704,-5477398890.139593,843312910.7070667,-700268001.858669,585415389.6285434,-618268660.0174571,-6413533.926455921,6475066.434860086,4938342.315749538,-5066829.128740819,1
16,2016-08-08,480994.8619951824,346021601.6922197,-310132343.89056623,5266011439.863696,-5370051456.490114,429169566.19690144,-427557215.6716207,600813131.6197324,-642757906.7098706,-6542145.221727259,6635455.073163737,3978269.3821921097,-4114294.155773341,1
17,2016-08-09,-131703.3096363946,343775524.4236872,-310144169.6863209,5356714045.052527,-5417648364.9232025,377618462.743883,-418597959.7449751,606077207.5920792,-656162079.5020378,-6570092.957581627,6692739.551802487,3640921.697215439,-3787899.13727876,1
18,2016-08-10,367481.2885786089,335326131.63483906,-293065619.73694026,5310432542.198828,-5401719131.345297,432272521.7088789,-410181928.30504,614215219.0807297,-678021871.9096538,-6556356.962110424,6705306.334031234,3290467.992501032,-3460773.956278531,1
19,2016-08-11,6207284.287065597,371932728.3259646,-309407124.8954568,5496501739.922912,-5718300044.958828,604252473.2533956,-487798564.6094906,602240542.5366707,-690792835.3436822,-6328703.279769808,6718454.572065192,2851348.677152938,-3107872.8855843944,1
20,2016-08-12,-1185181.1037302092,367617426.8997068,-313410109.7402177,5524957345.182332,-5651906872.391481,332566273.62424684,-420281946.2837248,623514833.693207,-701044349.2823374,-6404663.533896161,6730152.278440366,2550685.817253468,-2742423.322903894,1
21,2016-08-15,1053103.035620746,399002574.1463858,-340407463.31611526,5773852732.563795,-5898723721.919529,693897970.8921695,-699311199.3807454,613863675.0210168,-692537233.6753159,-6187834.059016882,6582364.374951318,1422818.11990713,-1540920.753691475,1
22,2016-08-16,7610800.744244942,356359518.2948079,-298815702.2587345,5303614911.045108,-5361862661.986929,625597533.6444838,-683558676.5199556,541887420.7687471,-711372850.6666605,-5908728.446458038,6632143.548557239,982779.306186837,-1169050.093923983,1
23,2016-08-17,-285373.06364108133,340472181.35554945,-302117953.3365164,5441770624.453604,-5353132255.231941,390611144.7343284,-518593049.9444128,541340497.1011604,-742217533.5258238,-5725358.91455382,6826277.397684161,642154.3769998323,-808048.9418976457,1
24,2016-08-18,-2163437.213470512,367623084.9183409,-334983886.204006,5987557053.120373,-5586725044.091295,390699648.9100544,-699341696.6262423,568503563.7055357,-761225519.5774491,-5711224.239678653,6502598.872515284,328442.4468364556,-394685.0789764189,1
25,2016-08-19,1390984.2522711707,623696600.1088908,-573719607.149478,4676733141.782548,-4692119014.42426,797388773.8671356,-643467214.1685517,642848620.1190598,-628267585.7251244,-6250000.0,6250000.0,10082914.99657232,-10049223.63514179,1
26,2016-08-22,811246.9441547946,229827791.36797255,-236929618.4951457,4805849410.872242,-4728581649.50449,300434341.5163549,-385171496.2843112,675727305.8950672,-662166687.5183849,-6549632.8217557175,6545950.109818088,9450738.92860553,-9424537.74104306,1
27,2016-08-23,4254024.176233926,245896466.75027964,-248239464.1761523,4967238931.54463,-4863006860.4866085,441071532.940308,-468540648.1556449,683184473.3082573,-676547576.7266822,-6544697.415197881,6557980.474324951,9112276.767761815,-9142232.910179244,1
28,2016-08-24,-1115145.3685889204,216299452.93413708,-221960554.6884894,4638542093.939063,-4514249965.947516,463849953.0842841,-481707051.0579212,693973594.4955715,-682828620.0733683,-6618889.077222656,6576563.555476651,8854481.549867954,-8818806.91879712,1
29,2016-08-25,-2238962.6767897904,217244543.34467825,-228593398.80334023,4756980823.705672,-4565680667.159308,359403246.391405,-422962483.9187017,699120361.9676766,-689366630.6201833,-6659096.671601144,6647107.265046433,8532072.760316676,-8514693.72162528,1
30,2016-08-26,-1039342.4161763928,200144227.23978603,-210054629.6742394,4397211008.579446,-4233633583.304264,565149250.751377,-539904314.9205797,690655357.3591709,-679849643.4225903,-6677303.350612985,6701869.105544552,8119200.590236575,-8130634.236249485,1
31,2016-08-29,-525978.105160774,213018386.1220501,-229953958.23459864,4935641398.438638,-4691888564.922312,520184748.8990282,-593860965.5672368,747836442.1866171,-727611608.1126001,-7204606.064710586,7106842.796023267,7522302.548621113,-7413914.596355169,1
32,2016-08-30,-1587182.424455905,210342735.7956891,-223506130.9837045,4825281705.7713375,-4588812599.648613,481858401.655369,-479934033.61075634,741355914.428005,-724868972.0539421,-7149332.77484029,7082552.00868526,7050878.729811678,-6972021.298930162,1
33,2016-08-31,-728277.4475202833,197482493.2303556,-209645958.26212108,4703029600.688298,-4464416158.972012,431787048.176314,-435659591.373647,754757608.6751963,-734277615.8806877,-7188040.9066821225,7122516.7154385215,6713366.267555302,-6630132.550274881,1
34,2016-09-01,-1953988.8387592323,194071637.57883883,-210918176.52450517,4763138789.715267,-4472474462.534081,474558605.216071,-523880405.6058293,764202545.9411533,-745024483.8853287,-7238195.844118005,7183245.500667116,6350961.792224402,-6280790.021549929,1
35,2016-09-02,612896.0998233301,230533401.88813537,-239554312.6070326,5301705659.881027,-5112415712.152368,699564378.5012348,-605402731.1756544,769327015.5565186,-748729844.47555,-7261893.201209106,7272010.360911392,5962898.277061008,-5912565.08200107,1
36,2016-09-06,-437256.4954937933,218174255.57523215,-218217462.47892424,5461879249.679882,-5302937781.996237,657761870.2287064,-636828350.4943888,832592647.3362777,-840444827.939498,-7917630.732266378,8224283.680722043,4635283.034652988,-4757454.185194646,1
37,2016-09-07,3417280.1486301627,236947492.42288557,-233686998.7029004,5723692503.864123,-5426332486.933937,513900508.9606199,-652205478.6822102,818579665.3946743,-826827607.8272123,-7791084.335598049,8204619.606299759,4099172.7261235607,-4240642.627160398,1
38,2016-09-08,-303471.09199056664,218297787.193682,-210485504.00714865,5418292188.635686,-5132528561.618321,675843568.3435955,-669102438.9893118,857846052.0762666,-892724277.9209013,-8036720.062564407,8681410.200304918,3794835.1746517816,-4030019.582845648,1
39,2016-09-09,584716.2526150127,106194196.10850348,-95168951.09969364,2815834721.530472,-2677880783.818906,2457232564.1133914,-2312051120.377253,639791904.0937146,-720708871.9646668,-7358994.64690481,8028612.681899202,2785294.674603896,-3089087.634984,1
40,2016-09-12,1255819.6236802875,138397798.20840758,-123061584.1374952,3818490510.560338,-3678770216.736671,1070283097.5847611,-1075104603.1352863,868914512.7847255,-971651427.2743726,-9076208.453009697,10213019.720306946,2061616.295824187,-2314996.7189228246,1
41,2016-09-13,-3753174.623440141,87285931.80144294,-74691846.24293806,2310860761.189782,-2326756195.512445,1501898006.9842908,-1347293324.9489927,640010820.0318973,-647956441.0645125,-7861333.890253425,8100019.343937458,1238654.356198978,-1269180.1609556885,1
42,2016-09-14,71894.34468048596,80268155.188515,-68141062.22940877,2061182217.7025604,-2156381071.1833954,513820133.3672947,-433977827.2650427,654598592.5164804,-588013432.077091,-8203047.503334274,7613063.290847544,855859.8189758373,-783615.9460302003,1
43,2016-09-15,1150632.2527485315,106520165.35968718,-94107577.14347978,2867340700.281675,-3021470214.314353,921570180.4450707,-861774382.8975809,803868398.2223432,-838495397.4928322,-9543931.948720375,9986571.31012338,512848.3149331646,-534828.9515225667,1
44,2016-09-16,200826.5424526274,396872069.26894057,-383128627.3652813,5010949950.426787,-4916088711.061996,1220592317.6832902,-769935698.8853291,535972784.7597177,-563672314.2071652,-6250000.0,6250000.0,11747636.499742918,-11981491.71213676,1
45,2016-09-19,637318.3380065375,318423688.5968833,-311674119.89602447,5235799888.764004,-5219143595.499599,483543276.72642297,-411450100.9565102,554900510.9171084,-585292915.02581,-6470676.464335533,6473257.606111247,11121579.67895367,-11362726.1191551,1
46,2016-09-20,-1365812.8237737382,306792473.0621706,-293658905.0883934,5096946098.498781,-5163887680.293804,390900650.1564534,-315052587.19371986,559090656.2192022,-587976097.1511734,-6518443.097384935,6511715.875705879,10854833.3865884,-11063437.124093208,1
47,2016-09-21,-456609.43456611154,384645970.1493987,-364938990.736288,5858863375.704298,-5953413128.219648,782165036.1539636,-761586886.307535,538883143.490964,-569185290.9188421,-6439600.123626176,6463456.432028925,10255688.14021648,-10506513.558559062,1
48,2016-09-22,-657147.6017225801,447706065.14235526,-421911862.3262243,6450403388.166971,-6552102923.505986,607266962.7196025,-606861550.9006786,514511333.3154665,-553472188.3960212,-6206192.814452159,6307762.666789589,9507401.662793394,-9891972.32656395,1
49,2016-09-23,-1743989.7322781966,397124899.2549517,-369030090.84751,6184140543.59584,-6329372329.104323,460471594.92906034,-420983940.08318233,566004706.2674329,-606610000.5725516,-5907927.775633926,6016120.880777018,9389818.279196857,-9758476.85966,1
