Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV
2016-07-15,0,302801517.4537734,-302803408.4797666,4728632082.459315,-4885795232.514013,499028227.4534793,-535341475.8519628,-6250000.0,6250000.0,11284968.041038398,-11672666.858475078
2016-07-18,-818257.0467493976,300763158.1863291,-298523552.4585522,4786694543.096048,-4915994920.470928,518768473.2583935,-554643546.9301736,-6491914.52976804,6483023.484141966,10719563.791818261,-11064519.70924515
2016-07-19,-661285.6897098215,288101816.12629044,-282741330.91134626,4748729135.83749,-4821067060.674177,522884243.39956,-558432216.9526784,-6514414.2991220765,6492581.515653041,10450135.53963517,-10767143.74006959
2016-07-20,1141445.4081558506,312548648.68177235,-304008229.7254571,4991236620.783085,-5047404893.503903,526835276.7200746,-564824929.6818929,-6525438.512747009,6502411.332409318,10136824.950355519,-10469690.204028945
2016-07-21,1889149.2188499584,295687548.3645526,-279836041.5164522,4793506951.36149,-4800165526.851028,530620260.6438438,-571475559.3075228,-6478955.334725685,6441936.797067,9771023.466505134,-10094475.154683718
2016-07-22,-1757584.7938561449,326083983.15457535,-316935645.5918552,5184599566.133116,-5278386085.157408,531082743.4809407,-572498086.3203228,-6476856.845314167,6489843.953582264,9437623.985178733,-9788715.698043518
2016-07-25,-1046632.3535437416,308250103.50355005,-296445501.4246187,5110051686.307351,-5143031845.427008,552892544.2468972,-593855454.5225024,-6696140.409225383,6702913.2797975,8744227.656205889,-9053260.951007087
2016-07-26,-1837676.5397172738,324901004.8890594,-310931928.09561515,5254461289.110508,-5245383108.099358,557950444.6979325,-593894793.5645316,-6748140.813882684,6769430.182730664,8475106.568991024,-8735455.826223407
2016-07-27,100941.26391697791,312445750.59162277,-296271754.2967889,5036022666.27475,-4963856155.455326,550642280.1121361,-581365157.731216,-6671426.608715572,6697220.655406918,8023171.796811141,-8248942.852113579
2016-07-28,-35799.780008063535,320284001.4475163,-319274023.76987463,5190800687.008266,-5220841386.520895,548869733.0391705,-578787605.8868585,-6530337.336270684,6598489.704760237,7587648.591108028,-7815264.811904609
2016-07-29,1320501.1384115736,330034355.0119429,-327443316.279925,5314343086.555244,-5325235761.43815,541408806.7612908,-575775089.0799186,-6441116.787464104,6511057.868280331,7146515.639683327,-7397003.158487288
2016-08-01,121563.5843650807,322092749.29780793,-312052698.2391187,5340397554.484291,-5279676273.679253,550869527.5348923,-590019265.6016285,-6540977.96230204,6646025.214463243,6219052.895794227,-6480130.6359342355
2016-08-02,-111737.616263506,262456564.59642607,-256652094.61348227,4681664287.284623,-4656624540.235877,571210719.766742,-596676213.9855978,-6672483.05296514,6648891.147177128,6040049.283151293,-6158846.408759279
2016-08-03,-801520.5232692033,288060594.0825243,-281931504.33268034,4864374753.012773,-4830858768.797062,575428811.0318521,-595032283.05254,-6673095.532056449,6680018.179930421,5710367.17162017,-5803443.380780831
2016-08-04,-2833903.03295858,302506969.92225176,-284504841.44447356,4969797006.600411,-4815815651.713419,567276644.4014695,-590145376.8702826,-6566767.263077831,6575601.869143257,5267076.841738424,-5372436.869304078
2016-08-05,378122.31358273234,359205106.4409175,-341203131.5237999,5445212055.732044,-5363414985.5210705,546192305.5084859,-576859556.6360842,-6413307.384258531,6503759.047866659,4760911.436810618,-4932176.864517213
2016-08-08,-103959.30571792429,346512355.3260467,-324798868.9018139,5416202800.799487,-5246712622.73115,567738309.9756435,-600480814.889956,-6609122.232835785,6684129.277468555,3873565.0892112437,-4012613.8439501915
2016-08-09,-890133.5462909543,346606616.1838437,-336006675.3287375,5468344440.269973,-5342201251.669668,562401933.9574444,-592610539.6619537,-6593068.02997113,6497046.636392109,3498787.923955442,-3571970.263070221
2016-08-10,2336777.4122446002,331288043.6056751,-321099501.24021614,5367405924.002516,-5283242154.812408,572608339.0717402,-611066899.9241143,-6588249.984424785,6559996.430354864,3174758.379177563,-3278001.588658558
2016-08-11,981511.4618700654,355687960.2969574,-342371415.43866,5505713090.209879,-5501537373.178562,567613681.3066584,-620846855.984184,-6480953.532843765,6569441.016403792,2787514.4409338483,-2936500.997065708
2016-08-12,-1192433.8327273054,352458621.7974783,-345025205.14525205,5507561052.072121,-5510672701.193845,575516695.2743306,-624172114.9795301,-6439091.094200131,6566799.5622354625,2448007.9450842123,-2575211.119630894
2016-08-15,-826890.7617589841,380429484.661095,-366485070.9474394,5838812896.481302,-5671859788.34071,568675549.349252,-589607616.1221653,-6346074.143442621,6272555.1298426045,1377998.6334324023,-1399681.2911785874
2016-08-16,1671224.2284582825,332972043.7630953,-330086983.50647545,5397057511.848398,-5227865819.974623,589431099.3273182,-584379491.7858095,-6648033.899948711,6264836.826578146,1077413.025643402,-1040932.1717764016
2016-08-17,1103444.598586365,323820359.35623986,-324758874.7184925,5471764980.870799,-5252706953.85304,617972610.7148991,-632577959.3552161,-6857827.118501749,6397069.699069127,745000.7397809445,-727599.5213503311
2016-08-18,-780906.748091158,351035193.68244255,-359576909.1230174,5819641481.8013115,-5693393350.277687,602618863.9318436,-685485633.8538947,-6611364.297751689,6466150.205316595,358567.42387284385,-380402.29586116684
2016-08-19,1477231.8993943445,595685719.4281553,-614220224.2174946,4499838599.076204,-4578530221.665672,587436045.4270349,-603844913.7180943,-6250000.0,6250000.0,9658755.807239916,-9832538.549682831
2016-08-22,156553.30694749992,235442545.61593005,-235130251.0386207,4607810153.702776,-4660349884.858931,616727723.4485121,-634241273.9352958,-6541881.954064168,6546638.8169209715,9039690.974355994,-9209961.22463587
2016-08-23,1522255.8165063253,252793812.2291979,-251676407.26174828,4796674730.989132,-4897229284.71587,627407796.1637259,-646302678.2737417,-6530782.24684259,6549742.003445668,8731204.434486497,-8916608.681236139
2016-08-24,-840782.0573294014,224100462.73024672,-224959385.70172024,4458341529.200422,-4577928296.923948,634202478.8006643,-653357655.804126,-6569188.752216438,6608563.67588122,8446965.19567808,-8632584.388390135
2016-08-25,-1410151.450611,226464608.54440132,-234695691.99528575,4544299990.907068,-4742106133.50598,639067404.8403254,-658553763.6989346,-6619118.02145626,6671933.781614508,8141639.088033542,-8329137.877811997
2016-08-26,1176510.8437696435,208630969.4044899,-216647175.75910878,4203617128.5974846,-4462242700.587303,632592639.314661,-662271807.5230972,-6641443.454379255,6755351.939283327,7764626.993260635,-8033946.928183981
2016-08-29,492435.0881305233,224243952.84230897,-234530111.44097394,4651898354.275019,-4952686350.651368,680571992.0523921,-703191005.5459689,-7086976.504919896,7149585.067504679,7130088.4516431885,-7295737.352678342
2016-08-30,347991.97873382346,226078932.51086193,-229534846.47886938,4606420387.070927,-4870002402.69302,671359089.462919,-701520451.3883302,-6999432.206879113,7140631.27394538,6650747.256834201,-6868762.071610479
2016-08-31,816878.5644740192,206780072.38158202,-212884263.1255785,4400408946.225618,-4725502180.125136,679413593.0978782,-715752615.2172194,-7039794.773995601,7218986.445142457,6315010.226567037,-6569737.920849163
2016-09-01,2103208.0992614087,201792858.62280154,-208740190.23006102,4353757725.703182,-4709029320.646763,687508751.3648803,-723527667.3430517,-7131804.453935231,7259259.375018501,5989819.490535361,-6204004.574533889
2016-09-02,629786.2721279822,237005670.17716515,-247511661.26690406,4990723759.785967,-5321476218.268343,700357020.352639,-709079302.7900524,-7221054.832579501,7195123.148594793,5682605.031475149,-5710805.2859823685
2016-09-06,771386.5422243557,223677442.7362035,-226328378.36995602,5186142401.656051,-5402018003.762966,773673863.3721037,-770759492.9401748,-8015624.2360624205,7979974.428215279,4496106.8504802175,-4482188.532805294
2016-09-07,-2084600.1560316775,247689222.13781148,-246083238.55386144,5479527001.314912,-5602230061.567842,747925469.4863486,-747358214.1829714,-7886297.43943853,7872748.317661043,3947068.0726618497,-3943636.3348136568
2016-09-08,-733135.8597735234,226950430.15914443,-220621265.88878495,5143519249.361181,-5268233588.859277,796590564.2101586,-793960860.1536028,-8181875.195326451,8235047.805552114,3692922.7222455447,-3696864.512650771
2016-09-09,-271436.3192869255,113621462.54444501,-102338566.60720798,2826564335.1674185,-2868749886.2308817,628920453.2221285,-671422858.899131,-7568631.385003997,7924235.361223195,2792835.178045585,-2952251.212723996
2016-09-12,-1567423.4169590469,138352386.54490316,-128627922.17129579,3599697936.2425504,-3804374754.559618,804979764.2536087,-853586953.4612017,-9171369.072790653,9644125.511547275,1989026.5709073888,-2097514.9567511836
2016-09-13,-1944320.2772670873,86968451.0966849,-76327759.19305228,2331139603.700779,-2410526836.4886656,588621326.6650078,-649730827.6669316,-7722030.227478126,8275243.476183621,1172799.2780634393,-1277522.326818801
2016-09-14,-406666.33397213713,78492201.48411717,-67631644.49682686,2131805146.2575154,-2184607471.902042,576729607.751225,-625627209.6120224,-7677707.475958202,8229072.185868288,773038.2591646421,-836445.7951618454
2016-09-15,-1964220.3131516431,104065267.63123202,-96354929.54309776,2833049987.8273697,-2947783891.398302,740473169.781846,-695415224.6682559,-9191807.525113735,8914936.5371335,479108.61772795266,-461228.28867261944
2016-09-16,276897.17873322184,396074283.33199793,-388987674.661648,4953894168.601919,-4880015924.060043,547746417.913563,-529030305.6660787,-6250000.0,6250000.0,11840761.337739093,-11658648.889992032
2016-09-19,129835.85155894374,317272332.89616764,-316120465.41045177,5263216931.412361,-5156808841.732698,566995424.3102431,-549183317.1906545,-6472933.903297465,6467652.191504716,11215831.136436936,-11046660.74683344
2016-09-20,-623212.3640920388,301838211.442802,-302671924.27550626,5137735412.500021,-5047784340.39448,571089668.9855788,-551940188.4117025,-6525541.664758995,6508155.186150545,10950862.76265041,-10762460.62648716
2016-09-21,523733.07383690507,371589071.96046615,-376548338.4359561,5863011271.810447,-5804276799.081425,554461681.9733309,-534923349.6541699,-6471376.670393324,6445797.72720932,10403368.761273138,-10211199.84737282
2016-09-22,-1695015.4683632466,439893620.77447426,-445616618.69634974,6519807448.05121,-6454920930.425231,528803131.55505526,-510529633.7378979,-6217250.50254835,6212249.226075281,9626081.130871154,-9463226.772247106
2016-09-23,-727284.1191580291,395482631.2849909,-391758142.29670584,6300654316.21805,-6185960986.671791,574937575.6976138,-560776810.223336,-5932750.1333679,5947777.125944501,9458179.185542367,-9348155.849575344
2016-09-26,1920089.230275157,338477080.1817232,-333307286.26161885,5896998907.355562,-5788476162.580032,618445617.3164717,-612733529.8736951,-5948590.172692242,5957787.629174612,8781660.27537994,-8744929.17836069
2016-09-27,109876.83489625115,350331239.0066097,-350263403.0712807,6134120254.395551,-6066002930.685446,630356211.5606805,-619027938.1567677,-5914015.337288132,5875781.806982211,8482559.255662179,-8366575.589077437
2016-09-28,-569550.6842197711,382024167.17105204,-390909233.25778127,6475523244.161431,-6519558333.353329,620827819.6546472,-608008498.9486642,-5688055.089019161,5623567.323702271,7892944.528630064,-7752415.144954661
2016-09-29,-3189245.189032932,317637327.59015083,-322066052.772379,5775907392.487923,-5761423893.71995,664836718.3215988,-654954586.0280224,-5814376.42520155,5819044.861649357,7874284.212848194,-7813974.495769253
2016-09-30,-289541.0012436256,362810567.5457206,-372016811.4853926,6288987964.075308,-6351271765.982209,649618684.3556046,-632922401.288228,-5714328.349881157,5708840.13388913,7378680.332661998,-7269731.129120446
2016-10-03,258862.64341002214,320397785.79350835,-327771168.24585044,5884963823.797525,-6007952472.545969,700649040.9261875,-688462156.4928026,-6006735.352720051,6050468.502180995,6741437.907501846,-6695614.88094663
2016-10-04,-499630.81167762575,287370390.3609894,-295959614.6939014,5402508080.218048,-5570655242.286076,705256301.081116,-695560073.7104543,-6059426.735626562,6122060.153486365,6408994.524468109,-6391247.868395324
2016-10-05,-958976.4394419221,314498156.57295454,-331892187.7133673,5561756405.219204,-5811715980.798158,665965611.859102,-646711717.6221973,-5775802.237039794,5714128.576320776,5714845.051829793,-5593101.728438245
2016-10-06,322305.3753675758,318750417.97303647,-333423233.9598355,5645570259.582382,-5863558855.998476,657984957.2287832,-646415927.970067,-5560616.604928984,5566196.268838059,5213072.950311369,-5163808.84314448
2016-10-07,1536270.756456021,273589769.3230633,-298463398.44121295,5236436027.500088,-5547887220.112044,686089374.5755084,-673575616.2107842,-5859140.760705369,5817291.921161683,5105284.543663599,-5041234.754345953
2016-10-10,-848209.9774591866,299019392.94073343,-329535114.55764705,5716810582.227531,-6067786445.399511,715993973.2821553,-690900834.6904336,-6044498.907839546,5884185.043798776,4176716.719255967,-4045054.784734568
2016-10-11,1721968.905349906,216130274.54332072,-240414918.47372064,4639718741.592413,-4897441453.881981,744931484.3446599,-738932602.8777958,-6411919.178344448,6392610.834221257,3979004.0051767146,-3966691.0348421615
2016-10-12,1042645.7291263836,226867328.5119838,-244860520.18220115,4959917238.084821,-5145420574.131762,782524028.8595936,-765974330.7146534,-6699028.757070761,6611620.337846346,3764711.7676823726,-3704437.5717112273
2016-10-13,-2544038.9687663466,197586885.36217374,-206749979.75621635,4606973931.363756,-4723167658.101555,812056246.1056876,-818553728.1950054,-7048513.216445413,7089304.526447602,3506149.286911927,-3528946.8591371356
2016-10-14,-145777.1091976657,198299545.25355095,-202802322.07710755,4669879001.488713,-4682832355.107901,809949344.4055575,-811738119.7236435,-6984887.36456329,7121714.505598896,3053954.7635058267,-3080394.300491402
2016-10-17,563121.6009972007,177762126.33706862,-180204801.30986667,4472939809.861616,-4498044434.3131695,860252798.8816688,-880168448.7629094,-7332112.919180352,7611533.518496593,1844670.3367395252,-1895192.8723081404
2016-10-18,1062743.2013925528,200504262.3633243,-202006163.57938206,4893657224.529791,-4929991671.991396,888040122.7462723,-890343182.3195075,-7504835.359396314,7865456.572611004,1424286.1825658497,-1455528.0835293157
2016-10-19,190802.258823341,225438167.49072993,-224185452.39559138,5115224523.158291,-5178925259.922715,862113923.4389064,-853122938.2643621,-7177062.299482426,7711893.606854236,915301.4729390973,-939737.9790146372
2016-10-20,-404197.1818971636,206963642.89990562,-205064873.9870717,4724223339.282992,-4812825983.776677,847116593.8661098,-879203115.3563466,-6979365.511880538,7815069.555380468,445236.0020569314,-479065.042907657
2016-10-21,1047652.3211941349,453423356.79617786,-439390348.3868794,5032567535.343515,-5020981353.5467825,720567127.5822539,-705408372.6948117,-6250000.0,6250000.0,10834387.95038218,-10809096.317276513
2016-10-24,135340.5373593815,264763203.87014955,-264678513.87630284,5521704940.888793,-5503103608.5372305,746327053.0554433,-728704701.6918461,-6454699.027394513,6457796.558202367,10007259.170209356,-9978929.877022367
2016-10-25,-1836316.9511716543,230807466.60197937,-228361707.81589067,5044091300.416745,-4980501005.884532,743834506.4868741,-719019073.9993358,-6420640.612759094,6387149.604658732,9565326.290595407,-9459262.518700738
2016-10-26,-2926834.60020414,225231829.43415835,-218822050.69461626,4867076562.74611,-4694800904.42296,723002603.8365306,-693372405.8387349,-6239373.130431047,6172036.765395531,8925350.327623881,-8756644.594185594
