,Ticker,PnL
2017-04-20,EVRG,-6228347.700551358
2017-06-15,KR,-6108431.195179625
2017-09-08,EFX,-5981748.751665701
2017-10-20,SKX,-9894843.520141728
2017-10-31,SSD,6300999.906724235
2018-01-12,AFL,5063386.4066992905
2018-03-07,MED,5077572.886528468
2018-04-20,SKX,-7530172.56963748
2018-08-31,SWBI,-9362264.67763479
2019-01-18,NLS,-7433551.1563051855
2019-07-29,NSP,-5982044.648728545
2019-07-30,IT,5789188.963722833
2019-11-07,EXPE,5323277.65496045
2020-03-17,QDEL,5432037.528155746
2020-11-09,REG,-5397254.2584812865
